date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:06	7329/7329	---M-Z	200	added ('OK')	text/html	etag:%22800d5f982f0312e194edc04f7ef975a6-ssl-df%22	https://www.xditya.me/	C:/Users/sudar/Downloads/personal%20web/l/www.xditya.me/index.html	(from )
16:03:06	1519/1519	---MCZ	404	error ('Not%20Found')	text/html	etag:1613961589-ssl-df	https://www.xditya.me/robots.txt		(from )
16:03:07	11893/11893	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2015%20Jun%202024%2010:33:06%20GMT	https://kit.fontawesome.com/a81368914c.js	C:/Users/sudar/Downloads/personal%20web/l/kit.fontawesome.com/a81368914c.js	(from https://www.xditya.me/)
16:03:07	16620/16620	---MCZ	200	added ('OK')	text/css	etag:%22cabae7b796490dda92ae23e63070672c-ssl-df%22	https://www.xditya.me/src/style.css	C:/Users/sudar/Downloads/personal%20web/l/www.xditya.me/src/style.css	(from https://www.xditya.me/)
16:03:09	189076/189076	---M--	200	added ('OK')	text/javascript	etag:10674063664965200465	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-2167251825126678	C:/Users/sudar/Downloads/personal%20web/l/pagead2.googlesyndication.com/pagead/js/f611f.txt	(from https://www.xditya.me/)
16:03:09	150613/150613	---MCZ	200	added ('OK')	image/svg+xml	etag:%22bc7228f45428eb51710438209f9ae80d-ssl-df%22	https://www.xditya.me/imgs/logo.svg	C:/Users/sudar/Downloads/personal%20web/l/www.xditya.me/imgs/logo.svg	(from https://www.xditya.me/)
16:03:09	23364/23364	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b44-gBf4sYaQd9tyhXPxykaEoAr2lGI%22	https://cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	C:/Users/sudar/Downloads/personal%20web/l/cdn.jsdelivr.net/particles.js/2.0.0/particles.min.js	(from https://www.xditya.me/)
16:03:10	821859/821859	---M--	200	added ('OK')	image/jpeg	etag:%2275011191006aa7c1a3bcc96df163c981-ssl%22	https://www.xditya.me/imgs/logo.jpg	C:/Users/sudar/Downloads/personal%20web/l/www.xditya.me/imgs/logo.jpg	(from https://www.xditya.me/)
16:03:10	178/178	---M--	301	error ('Moved%20Permanently')	text/html	etag:%224d61087741477067ce54457e352f8818-ssl%22	https://www.xditya.me/yt	C:/Users/sudar/Downloads/personal%20web/l/www.xditya.me/yt.6.delayed	(from https://www.xditya.me/)
16:03:10	173/173	---M--	301	error ('Moved%20Permanently')	text/html	etag:%2213985c02a21693ae2859c34267a0cc04-ssl%22	https://www.xditya.me/github	C:/Users/sudar/Downloads/personal%20web/l/www.xditya.me/github.7.delayed	(from https://www.xditya.me/)
